x,y,Al,Ca,Cu,Fe,K,Mg,Mn,Nmin,P,pH
5,24,3539.68688948301,100.717369295692,1.84547818215414,395.24285404498,42.0258165228597,17.8246139403325,7.11629931862556,-7.04595513405341,6.77955715828476,4.80477003422504
5,25,3553.07721206384,129.597808543769,2.21396649012767,425.233785631505,45.4813395066776,22.0269945861116,6.92103342089418,-7.7133023792325,10.4216411864735,4.88948410966609
6,1,3348.77190030151,271.446240085085,2.85122339208928,1143.21568119014,87.4109763055974,37.88318593992,8.48903803705386,-2.20600685515509,56.7413542056857,4.20525906335417
6,2,3489.76850645817,256.572361108488,2.63067685982129,943.5742811575,89.0829202843829,35.7514572417717,10.968947989938,-5.27317978937726,52.635177486676,4.20198305941893
6,3,3607.27454689035,240.251960250344,2.43112155119912,760.274336807287,91.2560251229735,33.9026582540017,11.338589283022,-8.43443775100027,49.0681055164948,4.19694964049027
6,4,3617.71071337054,216.633878084648,2.40542289901094,780.167402595793,89.8674312594346,32.947176209375,6.2149077595529,-6.31968556646506,47.479082749126,4.2059397568312
6,5,3595.36757728563,200.149111454458,2.55939836978813,817.894365184579,83.4092202273229,32.6389662040438,0.918499241008488,-5.28136621348046,48.3681775661322,4.18605535871519
6,6,3668.8920849806,200.723397123489,2.71397521170982,689.855140957273,74.0192764309839,31.589116470455,0.051364721295676,-6.75402285425479,45.0570315660156,4.13200982728207
6,7,3758.59773002451,199.962305299772,2.88405784779346,549.64428861931,66.3083483616654,30.7648357501205,0.00557496645568056,-7.94031381503795,39.3492900804272,4.08526427470566
6,8,3830.92752832034,194.94269291902,2.88492540832507,466.408000965796,62.2449443213983,29.704391866181,0.0046873362088238,-8.65042200046991,33.7181582040124,4.11643832323739
6,9,3905.91119643073,187.89927633147,2.5638907409246,432.536055918916,61.7807381590163,28.6873520411966,0.00675889729821141,-9.03902864302182,25.2984922305652,4.17169868923477
6,10,3881.86373490717,189.38471171761,2.38274656226501,418.916923896771,61.6339996526514,27.6035097700612,0.0299372426111542,-9.14690325824003,18.3696608072927,4.2217441127549
